 -57.605   44.404   22.556 -105.587   -0.458   80.932 -2.474  1.246
 -65.260   32.879   26.207  -72.805  -34.255   47.132 -2.574  1.288
 -66.955   31.749   28.969  -39.953  -43.348   28.150 -2.307  1.204
  34.797  -96.335   23.159   45.341 -144.745   26.703 -2.217  1.182
 -55.884   38.745   18.757 -143.470   18.808   87.974 -2.314  1.220
   6.213    4.406   -8.417 -310.617  279.158   45.458 -2.132  1.164
  -3.198   13.392   -6.787 -301.441  229.680  115.837 -2.041  1.142
 -65.423    6.723   24.792   50.106  -82.802    1.699 -2.130  1.177
  35.087   49.094    8.057  -76.450  -12.825    2.115 -2.448  1.278
 -71.337   36.212   30.479  -91.000  -15.173   64.557 -2.213  1.203
 -67.428   32.993   27.429  -84.426  -39.768   43.309 -1.961  1.140
 -57.824    3.742   23.060   77.446  -91.742  -32.098 -1.755  1.073
  61.360 -104.299   19.148   63.125 -108.165   14.821 -1.778  1.093
 -28.869   33.321    9.188 -190.409  127.340  140.643 -1.770  1.094
 -69.290   33.819   28.137  -72.234  -34.029   48.228 -2.176  1.222
 -68.763   34.827   26.741  -78.377  -38.981   54.173 -1.780  1.106
 -33.846   37.669    9.292 -186.231   92.123  124.441 -1.592  1.042
  14.400  -73.133   25.945  -31.499 -205.308   73.190 -1.575  1.042
 -67.206   34.139   27.539  -78.809  -35.155   47.153 -1.693  1.091
  15.388  -18.168    4.979   12.111 -369.694  150.628 -1.796  1.122
  12.740 -119.241   24.521  -10.027    8.939  -27.730 -1.498  1.026
 -68.577   33.757   26.890  -70.525  -42.076   63.183 -2.366  1.304
 -67.811   33.446   27.627  -87.633  -26.740   45.042 -2.438  1.327
 -61.784    9.355   27.314   54.380  -84.457  -18.168 -2.586  1.377
 -67.249   32.926   27.273  -73.882  -41.476   47.663 -2.285  1.280
 -72.448   33.404   28.462  -87.655  -33.696   57.319 -2.207  1.257
 -60.128   35.905   20.303 -134.784   -2.218   84.802 -1.590  1.074
 -13.088 -123.485   44.481  -22.748   10.506  -30.469 -1.708  1.106
